,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Description,1119,1019,"NIMO 17.3 FHD Laptop, Intel 6 Core i3-1215U, 32GB RAM, 1TB SSD, (Beat i5-1135G7, Up to 4.4GHz), 65W Type-C, Fingerprint, Backlit Keyboard, IPS Business Computer, Numpad, Win 11",4,,,,,,,
Price,1119,481,$39.99,60,,,,,,,
Rating,1119.0,,,,4.335388739946381,0.4362166645624262,1.0,4.2,4.4,4.6,5.0
ReviewCount,1119.0,,,,2118.820375335121,5853.85991161762,1.0,22.0,228.0,1658.0,97757.0
Url,1119,1119,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjEzODk3Mzg2NjA0Mjc6MTczMzY4NTgxMDpzcF9hdGY6MzAwMzczNDI4NjE1MTAyOjowOjo&url=%2FKTC-Ultrawide-DisplayPort-Adjustment-H34S18S%2Fdp%2FB0CT4KKS7N%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZS9e2riiSTqu5CujMo0-LkiOCvzD6_YW1h1_ymZEj6PiYgCrc4m8vq75W1ybebPJYBCCfFjcCqrbDkqWOSbRivAt8TA-VrvFbIgpCMPlzSs_qbIVlBO0wYCA-QOc9K56mC7-IwpCKmZaInWBRsjTXdmVs77gdrJQ3sHIGGkwF7cUDgvcGxS7ovYOe-L0KJmBJ4iF8wv3Lmv9WqzxbS8XOIZSZ9ACcUipMIOcm69K3f8.k6xT0DXAaTO99L09XiEKqW3s9xEVFPWExTRprURirhI%26dib_tag%3Dse%26keywords%3Dultrawide%2Bmonitor%26qid%3D1733685810%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,1,,,,,,,
